,date,open,high,low,close,volume,adj_factor
664,2019-12-05,1.6234451612903225,1.6234451612903225,1.4802,1.4802,9005,0.9549677419354838
665,2019-12-06,1.6234132653061224,1.9098979591836733,1.6234132653061224,1.8717,11965,0.9549489795918367
666,2019-12-09,1.9003504999999998,1.9099,1.667629185,1.9099,4772,0.95495
667,2019-12-10,1.909899658632461,1.909899658632461,1.6729766059791042,1.8463,1267,0.9549498293162305
668,2019-12-11,1.6387779943181817,1.9815071022727275,1.6387779943181817,1.6807,3710,0.9549431818181818
669,2019-12-12,2.0530846153846154,2.0530846153846154,1.6424676923076924,1.8621,10095,0.954923076923077
670,2019-12-13,1.8334523076923077,1.9289446153846155,1.7093123076923078,1.8621,6082,0.954923076923077
671,2019-12-16,1.690252747252747,1.757098901098901,1.6807032967032967,1.738,6928,0.9549450549450549
672,2019-12-17,1.7188097684210528,1.9098947368421053,1.6712533894736843,1.8144,3989,0.9549473684210527
673,2019-12-18,1.7475483333333335,1.804845,1.7189,1.7189,10886,0.9549444444444445
674,2019-12-19,1.7857827053344626,1.8048819856054192,1.7666834250635057,1.8045,3622,0.9549640135478409
675,2019-12-20,1.9156757837837834,1.9156757837837834,1.7571502702702702,1.7667,5076,0.9549729729729729
676,2019-12-23,1.8430034444444445,1.8430034444444445,1.7667010582010585,1.8049,1034,0.954973544973545
677,2019-12-24,1.7667010582010585,1.8049,1.7289796031746032,1.8049,1748,0.954973544973545
678,2019-12-26,1.6902568421052633,1.8144,1.6902568421052633,1.8144,5946,0.9549473684210527
679,2019-12-27,1.8144486486486484,1.8144486486486484,1.738814789189189,1.7667,3502,0.9549729729729729
680,2019-12-30,1.7666536458333335,1.8335,1.7666536458333335,1.8335,711,0.9549479166666667
681,2019-12-31,1.843003045685279,1.8812,1.7666091370558377,1.8812,3392,0.9549238578680203
682,2020-01-02,1.9003,2.0042912914572866,1.9003,1.9003,2369,0.9549246231155779
683,2020-01-03,1.6902632352941176,1.9862980392156864,1.6902632352941176,1.9481,2586,0.9549509803921569
684,2020-01-06,1.9098924731182794,1.9098924731182794,1.771425268817204,1.7762,2015,0.9549462365591397
685,2020-01-07,1.7761929131668241,1.8913589697947373,1.7167,1.7167,2998,0.9549424264337764
686,2020-01-08,1.8621473684210526,1.9098947368421053,1.7666526315789475,1.8144,5653,0.9549473684210527
687,2020-01-09,1.7189032258064514,1.9098924731182794,1.7189032258064514,1.7762,1851,0.9549462365591397
688,2020-01-10,1.8335039999999998,1.9099,1.8335039999999998,1.9099,8432,0.95495
689,2020-01-13,1.738008080808081,2.119987878787879,1.738008080808081,1.8908,2387,0.954949494949495
690,2020-01-14,1.7379641791044778,1.9957940298507464,1.7379641791044778,1.9194,2240,0.9549253731343285
691,2020-01-15,1.8239,1.8239,1.8239,1.8239,632,0.9549214659685865
692,2020-01-16,1.8466772210526317,1.8466772210526317,1.8144,1.8144,539,0.9549473684210527
693,2020-01-17,1.8144,1.8144,1.8144,1.8144,229,0.9549473684210527
694,2020-01-21,1.7380042105263158,1.9098947368421053,1.7284547368421053,1.8144,2417,0.9549473684210527
695,2020-01-22,1.7666526315789475,1.9098947368421053,1.7666526315789475,1.8144,4508,0.9549473684210527
696,2020-01-23,1.7666505376344086,1.8621451612903224,1.7666505376344086,1.7762,2074,0.9549462365591397
697,2020-01-24,1.8812463157894737,1.8812463157894737,1.8144,1.8144,2600,0.9549473684210527
698,2020-01-27,1.6998011111111113,1.8812405555555556,1.6998011111111113,1.7189,1117,0.9549444444444445
699,2020-01-28,1.7284107692307693,1.909846153846154,1.7284107692307693,1.8621,4667,0.954923076923077
700,2020-01-29,2.119990099009901,2.1295396039603958,1.7380099009900989,1.9289999999999998,4927,0.9549504950495049
701,2020-01-30,1.7761677725118483,2.1199421800947866,1.7761677725118483,2.0149,2243,0.9549289099526066
702,2020-01-31,1.8143710407239817,2.1294986425339366,1.8143710407239817,2.1104,12090,0.9549321266968325
703,2020-02-03,1.9088896373056996,2.129476683937824,1.843,1.843,856,0.9549222797927461
704,2020-02-04,2.1199493212669682,2.1199493212669682,2.085953737556561,2.1104,1660,0.9549321266968325
705,2020-02-05,2.125680269058296,2.1295,2.09130269058296,2.1295,577,0.9549327354260091
706,2020-02-06,2.1294972602739723,2.1294972602739723,2.0913,2.0913,759,0.954931506849315
707,2020-02-07,2.0913,2.0913,2.0913,2.0913,813,0.954931506849315
708,2020-02-10,1.9577,1.9577,1.9577,1.9577,5796,0.9549290278522998
709,2020-02-11,2.1046185432692304,2.1046185432692304,1.9767504807692304,1.9863,4837,0.954951923076923
710,2020-02-12,1.8908,1.8908,1.8908,1.8908,244,0.954949494949495
711,2020-02-13,1.9194183406113534,2.1868,1.9194183406113534,2.1868,6528,0.9549344978165938
712,2020-02-14,2.1868,2.1868,2.1868,2.1868,87,0.9549344978165938
713,2020-02-18,2.2727610894941637,2.501947081712063,2.244112840466926,2.4542,6805,0.9549416342412452
714,2020-02-19,2.4542,2.4542,2.4542,2.4542,50,0.9549416342412452
715,2020-02-20,2.3968826666666665,2.482826666666667,2.110402666666667,2.1486,2939,0.9549333333333334
716,2020-02-21,2.492449615384615,2.492449615384615,2.454919626923077,2.4829,1182,0.9549615384615384
717,2020-02-24,2.435098814229249,2.435098814229249,2.416,2.416,698,0.9549407114624506
718,2020-02-25,2.2155033333333334,2.339647916666667,2.14865625,2.2919,2724,0.9549583333333334
719,2020-02-26,2.291904,2.3874,2.291904,2.3874,557,0.95496
720,2020-02-27,2.1963410138248847,2.1963410138248847,2.0722,2.0722,7675,0.954930875576037
721,2020-02-28,2.186810931174089,2.425545748987854,2.0244712550607287,2.3587,1890,0.9549392712550606
722,2020-03-02,2.368257471264368,2.4924,2.0626758620689656,2.4924,1723,0.9549425287356322
723,2020-03-03,2.49239766536965,2.49239766536965,2.435101167315175,2.4542,685,0.9549416342412452
724,2020-03-04,2.4542,2.4542,2.4542,2.4542,81,0.9549416342412452
725,2020-03-05,2.148660714285714,2.4542480158730156,2.148660714285714,2.4065,2165,0.9549603174603174
726,2020-03-06,2.4064992000000003,2.4064992000000003,2.3874,2.3874,704,0.95496
727,2020-03-09,2.210975305882353,2.492396470588235,2.210975305882353,2.4351,2692,0.9549411764705882
728,2020-03-10,2.4829,2.4829,2.2365199230769233,2.4829,1444,0.9549615384615384
